velocidad,calle,retraso,velocidad_promedio
34.5,AP Norte >(N),51,17.993880866425993
38.64,AP Norte >(N),46,17.993880866425993
39.92,AP Norte >(N),42,17.993880866425993
27.32,AP Norte >(N),83,17.993880866425993
26.080000000000002,AP Norte >(N),110,17.993880866425993
25.23,AP Norte >(N),115,17.993880866425993
26.47,AP Norte >(N),105,17.993880866425993
25.98,AP Norte >(N),109,17.993880866425993
25.0,AP Norte >(N),97,17.993880866425993
23.8,AP Norte >(N),106,17.993880866425993
26.47,AP Norte >(N),105,17.993880866425993
24.85,AP Norte >(N),120,17.993880866425993
16.82,AP Norte >(S),97,17.993880866425993
16.029999999999998,AP Norte >(S),104,17.993880866425993
16.85,AP Norte >(S),97,17.993880866425993
24.07,AP Norte >(N),127,17.993880866425993
11.309999999999999,AP Norte >(N),137,17.993880866425993
2.99,AP Norte >(S),733,17.993880866425993
12.47,AP Norte >(N),98,17.993880866425993
7.05,AP Norte >(N),241,17.993880866425993
3.9,AP Norte >(S),200,17.993880866425993
8.76,AP Norte >(N),187,17.993880866425993
3.7700000000000005,AP Norte >(S),574,17.993880866425993
9.690000000000001,AP Norte>(N),129,17.993880866425993
22.32,AP Norte >(N),117,17.993880866425993
9.83,AP Norte>(N),127,17.993880866425993
12.25,AP Norte >(N),154,17.993880866425993
7.94,AP Norte >(N),210,17.993880866425993
11.8,AP Norte >(N),161,17.993880866425993
23.72,AP Norte >(N),106,17.993880866425993
8.010000000000002,AP Norte >(N),208,17.993880866425993
9.139999999999999,AP Norte >(N),178,17.993880866425993
17.54,AP Norte >(N),96,17.993880866425993
5.37,AP Norte >(S),391,17.993880866425993
9.639999999999999,AP Norte>(N),130,17.993880866425993
9.15,AP Norte >(N),178,17.993880866425993
25.82,AP Norte >(N),84,17.993880866425993
5.83,AP Norte >(S),128,17.993880866425993
8.370000000000001,AP Norte>(N),153,17.993880866425993
17.16,AP Norte >(N),98,17.993880866425993
26.410000000000004,AP Norte >(N),108,17.993880866425993
16.009999999999998,AP Norte >(N),108,17.993880866425993
7.480000000000001,AP Norte >(S),269,17.993880866425993
10.09,AP Norte>(N),123,17.993880866425993
5.92,AP Norte >(S),125,17.993880866425993
8.57,AP Norte>(N),149,17.993880866425993
5.540000000000001,AP Norte >(S),135,17.993880866425993
14.079999999999998,AP Norte >(N),129,17.993880866425993
6.13,AP Norte >(S),337,17.993880866425993
14.430000000000001,AP Norte >(N),124,17.993880866425993
9.85,AP Norte >(N),163,17.993880866425993
19.57,AP Norte >(N),143,17.993880866425993
5.66,AP Norte >(S),369,17.993880866425993
22.96,AP Norte >(N),112,17.993880866425993
8.05,AP Norte>(N),160,17.993880866425993
16.119999999999997,AP Norte >(N),145,17.993880866425993
14.180000000000001,AP Norte >(N),127,17.993880866425993
8.370000000000001,AP Norte >(N),197,17.993880866425993
16.68,AP Norte >(N),138,17.993880866425993
8.18,AP Norte >(S),243,17.993880866425993
6.470000000000001,AP Norte >(S),318,17.993880866425993
25.71,AP Norte >(N),79,17.993880866425993
7.659999999999999,AP Norte >(N),219,17.993880866425993
8.58,AP Norte>(N),149,17.993880866425993
13.74,AP Norte >(N),140,17.993880866425993
28.119999999999997,AP Norte >(N),68,17.993880866425993
7.5600000000000005,AP Norte >(N),222,17.993880866425993
14.25,AP Norte >(N),127,17.993880866425993
16.69,AP Norte >(N),102,17.993880866425993
28.919999999999998,AP Norte >(N),74,17.993880866425993
10.27,AP Norte >(N),155,17.993880866425993
11.459999999999999,AP Norte >(N),224,17.993880866425993
19.669999999999998,AP Norte >(N),81,17.993880866425993
12.16,AP Norte>(N),98,17.993880866425993
25.77,AP Norte >(N),110,17.993880866425993
11.7,AP Norte>(N),102,17.993880866425993
25.889999999999997,AP Norte >(N),112,17.993880866425993
12.030000000000001,AP Norte>(N),99,17.993880866425993
24.54,AP Norte >(N),101,17.993880866425993
10.459999999999999,AP Norte >(N),151,17.993880866425993
9.89,AP Norte>(N),126,17.993880866425993
24.92,AP Norte >(N),99,17.993880866425993
25.630000000000003,AP Norte >(N),93,17.993880866425993
27.32,AP Norte >(N),101,17.993880866425993
13.99,AP Norte >(N),105,17.993880866425993
26.68,AP Norte >(N),88,17.993880866425993
18.24,AP Norte >(N),90,17.993880866425993
9.52,AP Norte >(S),203,17.993880866425993
10.27,AP Norte >(N),155,17.993880866425993
10.309999999999999,AP Norte >(N),154,17.993880866425993
8.780000000000001,AP Norte >(S),223,17.993880866425993
27.2,AP Norte >(N),85,17.993880866425993
19.0,AP Norte >(N),85,17.993880866425993
11.389999999999999,AP Norte >(N),136,17.993880866425993
27.619999999999997,AP Norte >(N),99,17.993880866425993
19.03,AP Norte >(N),85,17.993880866425993
9.8,AP Norte>(N),127,17.993880866425993
8.47,AP Norte >(S),233,17.993880866425993
20.41,AP Norte >(N),135,17.993880866425993
19.7,AP Norte >(N),86,17.993880866425993
29.43,AP Norte >(N),88,17.993880866425993
19.31,AP Norte >(N),83,17.993880866425993
11.45,AP Norte >(N),135,17.993880866425993
28.23,AP Norte >(N),72,17.993880866425993
10.51,AP Norte >(N),150,17.993880866425993
28.829999999999995,AP Norte >(N),91,17.993880866425993
13.179999999999998,AP Norte >(N),113,17.993880866425993
29.609999999999996,AP Norte >(N),87,17.993880866425993
12.48,AP Norte >(N),121,17.993880866425993
9.669999999999998,AP Norte >(S),199,17.993880866425993
18.660000000000004,AP Norte >(N),87,17.993880866425993
12.4,AP Norte >(N),122,17.993880866425993
10.53,AP Norte >(S),179,17.993880866425993
15.719999999999999,AP Norte >(N),90,17.993880866425993
10.52,AP Norte >(S),180,17.993880866425993
32.309999999999995,AP Norte >(N),72,17.993880866425993
10.01,AP Norte >(S),191,17.993880866425993
28.669999999999998,AP Norte >(N),92,17.993880866425993
9.16,AP Norte >(S),212,17.993880866425993
26.369999999999997,AP Norte >(N),108,17.993880866425993
9.34,AP Norte >(S),208,17.993880866425993
27.3,AP Norte >(N),101,17.993880866425993
8.7,AP Norte >(S),226,17.993880866425993
10.76,AP Norte >(S),175,17.993880866425993
11.22,AP Norte >(S),166,17.993880866425993
1.4899999999999998,AP Norte >(S),1507,17.993880866425993
27.98,AP Norte >(N),97,17.993880866425993
1.19,AP Norte >(S),1899,17.993880866425993
2.05,AP Norte >(S),394,17.993880866425993
23.410000000000004,AP Norte >(N),133,17.993880866425993
2.43,AP Norte >(S),330,17.993880866425993
1.1199999999999999,AP Norte >(S),2025,17.993880866425993
16.28,AP Norte >(N),106,17.993880866425993
22.69,AP Norte >(N),140,17.993880866425993
15.029999999999998,AP Norte >(N),118,17.993880866425993
27.830000000000002,AP Norte >(N),98,17.993880866425993
4.91,AP Norte >(S),155,17.993880866425993
6.3,AP Norte >(S),117,17.993880866425993
38.13,AP Norte >(S),78,17.993880866425993
21.79,AP Norte >(S),85,17.993880866425993
24.189999999999998,AP Norte >(S),71,17.993880866425993
15.16,AP Norte >(S),112,17.993880866425993
9.92,AP Norte >(S),193,17.993880866425993
5.72,AP Norte >(S),131,17.993880866425993
5.790000000000001,AP Norte >(S),129,17.993880866425993
9.62,AP Norte >(S),200,17.993880866425993
41.83,AP Norte >(S),61,17.993880866425993
8.69,AP Norte >(S),226,17.993880866425993
8.58,AP Norte >(S),229,17.993880866425993
7.01,AP Norte >(S),103,17.993880866425993
6.779999999999999,AP Norte >(S),107,17.993880866425993
7.159999999999999,AP Norte >(S),283,17.993880866425993
5.85,AP Norte >(S),127,17.993880866425993
2.71,AP Norte >(S),815,17.993880866425993
27.22,AP Norte >(N),102,17.993880866425993
26.589999999999996,AP Norte >(N),106,17.993880866425993
3.3200000000000003,AP Norte >(S),237,17.993880866425993
2.66,AP Norte >(S),831,17.993880866425993
3.65,AP Norte >(S),214,17.993880866425993
2.4699999999999998,AP Norte >(S),324,17.993880866425993
3.9199999999999995,AP Norte >(S),198,17.993880866425993
7.419999999999999,AP Norte >(S),272,17.993880866425993
42.85,AP Norte >(S),57,17.993880866425993
21.369999999999997,AP Norte >(S),88,17.993880866425993
41.1,AP Norte >(S),64,17.993880866425993
6.81,AP Norte >(S),300,17.993880866425993
5.51,AP Norte >(S),136,17.993880866425993
19.75,AP Norte >(S),99,17.993880866425993
40.44,AP Norte >(S),67,17.993880866425993
24.93,AP Norte >(S),67,17.993880866425993
23.72,AP Norte >(S),74,17.993880866425993
23.59,AP Norte >(S),74,17.993880866425993
37.8,AP Norte >(S),97,17.993880866425993
37.2,AP Norte >(S),101,17.993880866425993
37.35,AP Norte >(S),100,17.993880866425993
36.69,AP Norte >(S),86,17.993880866425993
38.92999999999999,AP Norte >(S),74,17.993880866425993
42.46,AP Norte >(S),71,17.993880866425993
39.690000000000005,AP Norte >(S),70,17.993880866425993
37.75,AP Norte >(S),97,17.993880866425993
39.44,AP Norte >(S),87,17.993880866425993
38.809999999999995,AP Norte >(S),75,17.993880866425993
42.67,AP Norte >(S),70,17.993880866425993
40.48,AP Norte >(S),67,17.993880866425993
39.83,AP Norte >(S),70,17.993880866425993
42.010000000000005,AP Norte >(S),73,17.993880866425993
44.89,AP Norte >(S),60,17.993880866425993
41.35,AP Norte >(S),63,17.993880866425993
36.559999999999995,AP Norte >(S),105,17.993880866425993
